Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score,BMI,combined_data,label
Mark Stone,stonema01,OTT,RW,3,76,219,0.673859725736471,26.654605263157894,0.673859725736471_76_219_26.6546052631579,5
Anton Stralman,stralan01,TBL,D,2.9,71,190,0.649374587163729,26.496726839912714,0.649374587163729_71_190_26.4967268399127,5
Evgeni Malkin,malkiev01,PIT,C,2.9,75,195,0.649374587163729,24.370666666666665,0.649374587163729_75_195_24.3706666666667,5
Gustav Olofsson,olofsgu01,MIN,D,2.9,75,196,0.649374587163729,24.495644444444444,0.649374587163729_75_196_24.4956444444444,5
Gemel Smith,smithge02,DAL,C,2.8,70,190,0.624889448590987,27.259183673469387,0.624889448590987_70_190_27.2591836734694,5
James Neal,nealja01,VEG,LW,2.8,74,221,0.624889448590987,28.37162162162162,0.624889448590987_74_221_28.3716216216216,5
Roman Polak,polakro01,TOR,D,2.8,74,235,0.624889448590987,30.16891891891892,0.624889448590987_74_235_30.1689189189189,5
Mark Jankowski,jankoma01,CGY,C,2.8,76,202,0.624889448590987,24.585526315789473,0.624889448590987_76_202_24.5855263157895,5
Cody Franson,fransco01,CHI,D,2.8,77,224,0.624889448590987,26.55962219598583,0.624889448590987_77_224_26.5596221959858,5
William Nylander,nylanwi01,TOR,C,2.7,72,191,0.6004043100182452,25.901427469135804,0.600404310018245_72_191_25.9014274691358,5
Bo Horvat,horvabo01,VAN,C,2.7,72,223,0.6004043100182452,30.24093364197531,0.600404310018245_72_223_30.2409336419753,5
Nate Prosser,prossna01,TOT,D,2.7,74,206,0.6004043100182452,26.445945945945947,0.600404310018245_74_206_26.4459459459459,5
Adam Pelech,pelecad01,NYI,D,2.7,75,217,0.6004043100182452,27.120177777777776,0.600404310018245_75_217_27.1201777777778,5
Claude Giroux,giroucl01,PHI,C,2.6,71,185,0.5759191714455033,25.799444554651856,0.575919171445503_71_185_25.7994445546519,5
Alex Iafallo,iafalal01,LAK,C,2.6,72,185,0.5759191714455033,25.087770061728396,0.575919171445503_72_185_25.0877700617284,5
Jake Debrusk,debruja01,BOS,LW,2.6,72,188,0.5759191714455033,25.494598765432098,0.575919171445503_72_188_25.4945987654321,5
Josh Morrissey,morrijo04,WPG,D,2.6,72,195,0.5759191714455033,26.44386574074074,0.575919171445503_72_195_26.4438657407407,5
Jakub Vrana,vranaja01,WSH,LW,2.6,72,197,0.5759191714455033,26.71508487654321,0.575919171445503_72_197_26.7150848765432,5
Travis Sanheim,sanhetr01,PHI,D,2.5,75,181,0.5514340328727614,22.620977777777778,0.551434032872761_75_181_22.6209777777778,5
Eric Staal,staaler01,MIN,C,2.5,76,209,0.5514340328727614,25.4375,0.551434032872761_76_209_25.4375,5
J.T. Brown,brownjt01,TOT,RW,2.4,70,169,0.5269488943000193,24.246326530612244,0.526948894300019_70_169_24.2463265306122,5
Ben Lovejoy,lovejbe01,NJD,D,2.4,73,205,0.5269488943000193,27.043535372490147,0.526948894300019_73_205_27.0435353724901,5
Gabriel Landeskog,landega01,COL,LW,2.4,73,215,0.5269488943000193,28.36273221992869,0.526948894300019_73_215_28.3627322199287,5
