Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI
Bilal Powell,PoweBi00,NYJ,RB,-5,71,204,0.9515594292808432,28.449117238643126
Paul Richardson,RichPa01,SEA,WR,-5,72,175,0.9515594292808432,23.73167438271605
Ted Ginn,GinnTe00,NOR,WR,-6,71,178,0.9370023834048469,24.82324935528665
Robert Woods,WoodRo02,LAR,WR,-6,73,201,0.9370023834048469,26.51585663351473
Sammy Watkins,WatkSa00,LAR,WR,-6,73,211,0.9370023834048469,27.835053480953274
Mohamed Sanu,SanuMo00,ATL,WR,-6,74,215,0.9370023834048469,27.60135135135135
Javorius Allen,AlleJa01,BAL,RB,-7,73,220,0.9224453375288506,29.022330643647965
O.J. Howard,HowaO.00,TAM,TE,-7,78,251,0.9224453375288506,29.002794214332678
Orleans Darkwa,DarkOr00,NYG,RB,-8,72,210,0.9078882916528542,28.47800925925926
Rishard Matthews,MattRi00,TEN,WR,-8,72,212,0.9078882916528542,28.749228395061728
Jamaal Williams,WillJa06,GNB,RB,-9,72,212,0.8933312457768579,28.749228395061728
Isaiah Crowell,CrowIs00,CLE,RB,-11,71,190,0.8642171540248652,26.496726839912714
Austin Hooper,HoopAu00,ATL,TE,-11,75,248,0.8642171540248652,30.99448888888889
Mike Wallace,WallMi00,BAL,WR,-14,72,180,0.8205460163968761,24.40972222222222
Charles Clay,ClayCh00,BUF,TE,-14,75,245,0.8205460163968761,30.619555555555557
Chris Thompson,ThomCh03,WAS,RB,-15,68,195,0.8059889705208798,29.646410034602077
Case Keenum,KeenCa00,MIN,QB,-15,74,209,0.8059889705208798,26.83108108108108
Jay Ajayi,AjayJa00,2TM,RB,-16,72,216,0.7914319246448834,29.291666666666668
Joe Mixon,MixoJo00,CIN,RB,-16,73,228,0.7914319246448834,30.0776881215988
Kenyan Drake,DrakKe00,MIA,RB,-17,73,210,0.7768748787688871,27.70313379620942
Giovani Bernard,BernGi00,CIN,RB,-18,69,202,0.7623178328928907,29.82692711615207
Jonathan Stewart,StewJo00,CAR,RB,-18,71,235,0.7623178328928907,32.772267407260465
Tyrell Williams,WillTy00,LAC,WR,-18,76,205,0.7623178328928907,24.950657894736842
George Kittle,KittGe00,SFO,TE,-18,76,247,0.7623178328928907,30.0625
Marcedes Lewis,LewiMa00,JAX,TE,-18,78,255,0.7623178328928907,29.464990138067062
Jamison Crowder,CrowJa00,WAS,WR,-19,68,174,0.7477607870168944,26.45371972318339
David Njoku,NjokDa00,CLE,TE,-19,76,246,0.7477607870168944,29.94078947368421
DeSean Jackson,JackDe00,TAM,WR,-20,70,178,0.733203741140898,25.537551020408163
Randall Cobb,CobbRa00,GNB,WR,-20,70,191,0.733203741140898,27.40265306122449
Tarik Cohen,CoheTa00,CHI,WR,-21,66,179,0.7186466952649017,28.888200183654728
Marqise Lee,LeexMa00,JAX,WR,-21,72,192,0.7186466952649017,26.037037037037038
Keelan Cole,ColeKe00,JAX,WR,-22,73,194,0.7040896493889053,25.59241884030775
Travis Benjamin,BenjTr00,LAC,WR,-23,70,172,0.689532603512909,24.676734693877552
Garrett Celek,CeleGa00,SFO,TE,-24,77,252,0.6749755576369126,29.87957497048406
Trey Burton,BurtTr01,PHI,TE,-25,75,228,0.6604185117609163,28.494933333333332
Matt Ryan,RyanMa00,ATL,QB,-25,76,217,0.6604185117609163,26.411184210526315
Julius Thomas,ThomJu00,MIA,TE,-25,76,251,0.6604185117609163,30.549342105263158
Theo Riddick,RiddTh00,DET,RB,-26,70,201,0.6458614658849199,28.83734693877551
Will Fuller,FullWi01,HOU,WR,-26,72,186,0.6458614658849199,25.22337962962963
Kelvin Benjamin,BenjKe00,2TM,WR,-26,77,240,0.6458614658849199,28.456738067127677
Sterling Shepard,ShepSt00,NYG,WR,-27,70,194,0.6313044200089235,27.833061224489796
Rex Burkhead,BurkRe00,NWE,RB,-27,70,214,0.6313044200089235,30.702448979591836
