Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI,combined_data,label
Brandon Williams,WillBr04,IND,TE,-70,76,255,0.005351447341080513,31.036184210526315,0.00535144734108051_76_255_31.0361842105263,4
Joe Flacco,FlacJo00,BAL,QB,-70,78,232,0.005351447341080513,26.807363576594344,0.00535144734108051_78_232_26.8073635765943,4
Tavarres King,KingTa00,NYG,WR,-71,72,189,-0.009205598534915836,25.630208333333332,-0.00920559853491584_72_189_25.6302083333333,4
Chris Moore,MoorCh00,BAL,WR,-71,73,203,-0.009205598534915836,26.77969600300244,-0.00920559853491584_73_203_26.7796960030024,4
Rashard Higgins,HiggRa00,CLE,WR,-71,74,188,-0.009205598534915836,24.135135135135137,-0.00920559853491584_74_188_24.1351351351351,4
Michael Hoomanawanui,HoomMi00,NOR,TE,-71,75,271,-0.009205598534915836,33.86897777777778,-0.00920559853491584_75_271_33.8689777777778,4
Coby Fleener,FleeCo00,NOR,WR,-71,78,250,-0.009205598534915836,28.887245233399078,-0.00920559853491584_78_250_28.8872452333991,4
Austin Traylor,TrayAu00,DEN,TE,-72,75,255,-0.023762644410912186,31.869333333333334,-0.0237626444109122_75_255_31.8693333333333,4
Phillip Supernaw,SupePh00,TEN,TE,-72,77,250,-0.023762644410912186,29.64243548659133,-0.0237626444109122_77_250_29.6424354865913,4
Dalvin Cook,CookDa01,MIN,RB,-73,70,210,-0.038319690286908535,30.12857142857143,-0.0383196902869085_70_210_30.1285714285714,4
Justin Hardy,HardJu00,ATL,WR,-73,71,190,-0.038319690286908535,26.496726839912714,-0.0383196902869085_71_190_26.4967268399127,4
Dede Westbrook,WestDe00,JAX,WR,-73,72,178,-0.038319690286908535,24.138503086419753,-0.0383196902869085_72_178_24.1385030864198,4
Dontrelle Inman,InmaDo00,2TM,WR,-73,75,198,-0.038319690286908535,24.7456,-0.0383196902869085_75_198_24.7456,4
Josh Gordon,GordJo02,CLE,WR,-73,76,220,-0.038319690286908535,26.776315789473685,-0.0383196902869085_76_220_26.7763157894737,4
Luke Stocker,StocLu00,2TM,TE,-73,77,255,-0.038319690286908535,30.235284196323157,-0.0383196902869085_77_255_30.2352841963232,4
Clive Walford,WalfCl00,OAK,TE,-74,76,254,-0.052876736162904885,30.914473684210527,-0.0528767361629049_76_254_30.9144736842105,4
Lee Smith,SmitLe00,OAK,TE,-74,78,269,-0.052876736162904885,31.08267587113741,-0.0528767361629049_78_269_31.0826758711374,4
Ross Travis,TravRo00,2TM,TE,-74,79,235,-0.052876736162904885,26.470918122095817,-0.0528767361629049_79_235_26.4709181220958,4
Aldrick Robinson,RobiAl00,SFO,WR,-75,70,184,-0.06743378203890124,26.398367346938777,-0.0674337820389012_70_184_26.3983673469388,4
Kenny Britt,BritKe00,2TM,WR,-75,75,215,-0.06743378203890124,26.87022222222222,-0.0674337820389012_75_215_26.8702222222222,4
DeAndre Washington,WashDe00,OAK,RB,-76,68,199,-0.08199082791489759,30.25454152249135,-0.0819908279148976_68_199_30.2545415224914,4
D'Onta Foreman,ForeDO00,HOU,RB,-76,72,233,-0.08199082791489759,31.597029320987655,-0.0819908279148976_72_233_31.5970293209877,4
Alan Cross,CrosAl00,TAM,TE,-76,73,235,-0.08199082791489759,31.00112591480578,-0.0819908279148976_73_235_31.0011259148058,4
Ben Koyack,KoyaBe00,JAX,TE,-76,77,249,-0.08199082791489759,29.523865744644965,-0.0819908279148976_77_249_29.523865744645,4
Johnny Holton,HoltJo00,OAK,WR,-77,72,190,-0.09654787379089394,25.765817901234566,-0.0965478737908939_72_190_25.7658179012346,4
Ricardo Louis,LouiRi00,CLE,WR,-77,74,215,-0.09654787379089394,27.60135135135135,-0.0965478737908939_74_215_27.6013513513514,4
Orson Charles,CharOr00,KAN,TE,-77,74,251,-0.09654787379089394,32.222972972972975,-0.0965478737908939_74_251_32.222972972973,4
