Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
85,Omri Casspi\casspom01,SF,29,GSW,36,592,16.9,.664,.112,.342,4.8,23.1,14.7,9.6,1.2,2.4,12.7,15.6,,1.3,0.8,2.1,.173,,-0.1,0.6,0.4,0.4
86,Willie Cauley-Stein\caulewi01,C,24,SAC,41,1099,18.3,.546,.025,.335,7.0,22.0,14.2,13.9,1.8,2.9,11.7,21.6,,1.2,0.9,2.2,.094,,-0.8,1.0,0.2,0.6
87,Tyler Cavanaugh\cavanty01,PF,23,ATL,30,413,14.5,.603,.612,.147,9.3,18.1,13.6,9.1,1.1,0.6,8.2,14.3,,0.9,0.2,1.2,.135,,1.8,-1.5,0.4,0.2
88,Mario Chalmers\chalmma01,PG,31,MEM,40,901,10.0,.476,.428,.312,1.0,13.2,7.1,20.6,2.8,0.7,16.7,19.1,,-0.5,1.0,0.5,.026,,-2.5,0.0,-2.5,-0.1
89,Tyson Chandler\chandty01,C,35,PHO,34,872,14.3,.636,.000,.524,12.8,28.4,20.5,5.9,0.7,1.9,19.6,10.6,,1.4,0.7,2.1,.116,,-1.1,0.9,-0.2,0.4
90,Wilson Chandler\chandwi01,SF,30,DEN,41,1274,9.9,.516,.385,.198,5.3,14.8,10.0,9.5,0.8,1.1,14.3,14.8,,0.6,0.8,1.5,.055,,-1.5,-0.2,-1.8,0.1
91,Marquese Chriss\chrisma01,PF,20,PHO,42,890,10.9,.511,.431,.304,4.6,20.6,12.5,8.8,1.6,3.7,15.5,16.6,,-0.1,0.8,0.7,.039,,-2.4,1.4,-1.0,0.2
92,Ian Clark\clarkia01,SG,26,NOP,38,614,8.3,.501,.495,.153,1.0,9.3,5.3,11.0,1.1,0.7,9.8,16.1,,0.0,0.2,0.3,.020,,-2.3,-2.2,-4.6,-0.4
93,Jordan Clarkson\clarkjo01,SG,25,LAL,44,998,15.8,.518,.308,.180,3.7,9.4,6.5,22.5,1.4,0.1,11.6,27.3,,0.6,0.7,1.3,.061,,0.3,-2.6,-2.2,-0.1
94,Gian Clavell\clavegi01,SG,24,DAL,7,64,7.6,.530,.833,.111,1.7,10.9,6.2,6.7,1.6,0.0,9.6,14.9,,0.0,0.0,0.1,.043,,-1.4,-1.8,-3.2,0.0
